Symbol,Financial Metrics,Name,Code,year,amount
TSCO,NET_INCOME_AVAILABLE_TO_COMMON,TESCO PLC - NET_INCOME_AVAILABLE_TO_COMMON,TSCO(WC01751),2010,2327000
TSCO,NET_SALES_OR_REVENUES,TESCO PLC - NET_SALES_OR_REVENUES,TSCO(WC01001),2010,56910000
TSCO,CURRENT_ASSETS_TOTAL,TESCO PLC - CURRENT_ASSETS_TOTAL,TSCO(WC02201),2010,11765000
TSCO,TOTAL_SHAREHOLDERS_EQUITY,TESCO PLC - TOTAL_SHAREHOLDERS_EQUITY,TSCO(WC03995),2010,14596000
TSCO,CURRENT_LIABILITIES_TOTAL,TESCO PLC - CURRENT_LIABILITIES_TOTAL,TSCO(WC03101),2010,16015000
TSCO,CASH_GENERIC,TESCO PLC - CASH_GENERIC,TSCO(WC02005),2010,4357000
TSCO,LONG_TERM_DEBT,TESCO PLC - LONG_TERM_DEBT,TSCO(WC03251),2010,11744000
TSCO,NET_CASH_FLOW_OPERATING_ACTIVS,TESCO PLC - NET_CASH_FLOW_OPERATING_ACTIVS,TSCO(WC04860),2010,4861000
TSCO,NET_INCOME_AVAILABLE_TO_COMMON,TESCO PLC - NET_INCOME_AVAILABLE_TO_COMMON,TSCO(WC01751),2011,2655000
TSCO,NET_SALES_OR_REVENUES,TESCO PLC - NET_SALES_OR_REVENUES,TSCO(WC01001),2011,60931000
TSCO,CURRENT_ASSETS_TOTAL,TESCO PLC - CURRENT_ASSETS_TOTAL,TSCO(WC02201),2011,11869000
TSCO,TOTAL_SHAREHOLDERS_EQUITY,TESCO PLC - TOTAL_SHAREHOLDERS_EQUITY,TSCO(WC03995),2011,16535000
TSCO,CURRENT_LIABILITIES_TOTAL,TESCO PLC - CURRENT_LIABILITIES_TOTAL,TSCO(WC03101),2011,17731000
TSCO,CASH_GENERIC,TESCO PLC - CASH_GENERIC,TSCO(WC02005),2011,3040000
TSCO,LONG_TERM_DEBT,TESCO PLC - LONG_TERM_DEBT,TSCO(WC03251),2011,9689000
TSCO,NET_CASH_FLOW_OPERATING_ACTIVS,TESCO PLC - NET_CASH_FLOW_OPERATING_ACTIVS,TSCO(WC04860),2011,4182000
TSCO,NET_INCOME_AVAILABLE_TO_COMMON,TESCO PLC - NET_INCOME_AVAILABLE_TO_COMMON,TSCO(WC01751),2012,2806000
TSCO,NET_SALES_OR_REVENUES,TESCO PLC - NET_SALES_OR_REVENUES,TSCO(WC01001),2012,64539000
TSCO,CURRENT_ASSETS_TOTAL,TESCO PLC - CURRENT_ASSETS_TOTAL,TSCO(WC02201),2012,12863000
TSCO,TOTAL_SHAREHOLDERS_EQUITY,TESCO PLC - TOTAL_SHAREHOLDERS_EQUITY,TSCO(WC03995),2012,17775000
TSCO,CURRENT_LIABILITIES_TOTAL,TESCO PLC - CURRENT_LIABILITIES_TOTAL,TSCO(WC03101),2012,19249000
TSCO,CASH_GENERIC,TESCO PLC - CASH_GENERIC,TSCO(WC02005),2012,3589000
TSCO,LONG_TERM_DEBT,TESCO PLC - LONG_TERM_DEBT,TSCO(WC03251),2012,9911000
TSCO,NET_CASH_FLOW_OPERATING_ACTIVS,TESCO PLC - NET_CASH_FLOW_OPERATING_ACTIVS,TSCO(WC04860),2012,4545000
TSCO,NET_INCOME_AVAILABLE_TO_COMMON,TESCO PLC - NET_INCOME_AVAILABLE_TO_COMMON,TSCO(WC01751),2013,124000
TSCO,NET_SALES_OR_REVENUES,TESCO PLC - NET_SALES_OR_REVENUES,TSCO(WC01001),2013,64826000
TSCO,CURRENT_ASSETS_TOTAL,TESCO PLC - CURRENT_ASSETS_TOTAL,TSCO(WC02201),2013,13096000
TSCO,TOTAL_SHAREHOLDERS_EQUITY,TESCO PLC - TOTAL_SHAREHOLDERS_EQUITY,TSCO(WC03995),2013,16643000
TSCO,CURRENT_LIABILITIES_TOTAL,TESCO PLC - CURRENT_LIABILITIES_TOTAL,TSCO(WC03101),2013,18985000
TSCO,CASH_GENERIC,TESCO PLC - CASH_GENERIC,TSCO(WC02005),2013,3092000
TSCO,LONG_TERM_DEBT,TESCO PLC - LONG_TERM_DEBT,TSCO(WC03251),2013,10068000
TSCO,NET_CASH_FLOW_OPERATING_ACTIVS,TESCO PLC - NET_CASH_FLOW_OPERATING_ACTIVS,TSCO(WC04860),2013,2954000
TSCO,NET_INCOME_AVAILABLE_TO_COMMON,TESCO PLC - NET_INCOME_AVAILABLE_TO_COMMON,TSCO(WC01751),2014,974000
TSCO,NET_SALES_OR_REVENUES,TESCO PLC - NET_SALES_OR_REVENUES,TSCO(WC01001),2014,63557000
TSCO,CURRENT_ASSETS_TOTAL,TESCO PLC - CURRENT_ASSETS_TOTAL,TSCO(WC02201),2014,15572000
TSCO,TOTAL_SHAREHOLDERS_EQUITY,TESCO PLC - TOTAL_SHAREHOLDERS_EQUITY,TSCO(WC03995),2014,14715000
TSCO,CURRENT_LIABILITIES_TOTAL,TESCO PLC - CURRENT_LIABILITIES_TOTAL,TSCO(WC03101),2014,21399000
TSCO,CASH_GENERIC,TESCO PLC - CASH_GENERIC,TSCO(WC02005),2014,3602000
TSCO,LONG_TERM_DEBT,TESCO PLC - LONG_TERM_DEBT,TSCO(WC03251),2014,9303000
TSCO,NET_CASH_FLOW_OPERATING_ACTIVS,TESCO PLC - NET_CASH_FLOW_OPERATING_ACTIVS,TSCO(WC04860),2014,3061000
